EXHAUSTIVE LIST OF RELATIONS IN KNOWLEDGE GRAPH
===============================================

<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> | Total Triples: 7191
<http://leagueoflegends.knowledge/ontology#skinNum> | Total Triples: 2061
<http://leagueoflegends.knowledge/ontology#hasChromas> | Total Triples: 2061
<http://leagueoflegends.knowledge/ontology#skinId> | Total Triples: 2061
<http://leagueoflegends.knowledge/ontology#hasSkin> | Total Triples: 2061
<http://leagueoflegends.knowledge/ontology#skinName> | Total Triples: 2061
<http://www.wikidata.org/prop/P674> | Total Triples: 1001
<http://www.wikidata.org/prop/direct/P674> | Total Triples: 997
<http://leagueoflegends.knowledge/ontology#belongsToChampion> | Total Triples: 870
<http://leagueoflegends.knowledge/ontology#spellDescription> | Total Triples: 860
<http://leagueoflegends.knowledge/ontology#spellName> | Total Triples: 860
<http://leagueoflegends.knowledge/ontology#costBurn> | Total Triples: 698
<http://leagueoflegends.knowledge/ontology#spellSlot> | Total Triples: 698
<http://leagueoflegends.knowledge/ontology#hasSpell> | Total Triples: 698
<http://leagueoflegends.knowledge/ontology#rangeBurn> | Total Triples: 688
<http://leagueoflegends.knowledge/ontology#costType> | Total Triples: 688
<http://leagueoflegends.knowledge/ontology#maxRank> | Total Triples: 688
<http://leagueoflegends.knowledge/ontology#cooldownBurn> | Total Triples: 688
<http://leagueoflegends.knowledge/ontology#spellId> | Total Triples: 688
<http://leagueoflegends.knowledge/ontology#spellTooltip> | Total Triples: 687
<http://www.wikidata.org/prop/P31> | Total Triples: 447
<http://www.wikidata.org/prop/P2521> | Total Triples: 441
<http://www.wikidata.org/prop/direct/P31> | Total Triples: 441
<http://www.wikidata.org/prop/P6262> | Total Triples: 441
<http://www.wikidata.org/prop/direct/P6262> | Total Triples: 439
<http://www.w3.org/2004/02/skos/core#altLabel> | Total Triples: 425
<http://leagueoflegends.knowledge/ontology#allyTip> | Total Triples: 422
<http://www.wikidata.org/prop/P1082> | Total Triples: 399
<http://leagueoflegends.knowledge/ontology#enemyTip> | Total Triples: 392
<http://www.w3.org/2000/01/rdf-schema#label> | Total Triples: 319
<http://schema.org/version> | Total Triples: 303
<http://schema.org/dateModified> | Total Triples: 303
<http://wikiba.se/ontology#sitelinks> | Total Triples: 302
<http://leagueoflegends.knowledge/ontology#hasRole> | Total Triples: 302
<http://wikiba.se/ontology#identifiers> | Total Triples: 302
<http://wikiba.se/ontology#statements> | Total Triples: 302
<http://schema.org/description> | Total Triples: 299
<http://leagueoflegends.knowledge/ontology#playsPosition> | Total Triples: 250
<http://www.wikidata.org/prop/P973> | Total Triples: 213
<http://www.wikidata.org/prop/direct/P973> | Total Triples: 212
<http://www.wikidata.org/prop/direct/P1441> | Total Triples: 212
<http://www.wikidata.org/prop/P1441> | Total Triples: 212
<http://www.wikidata.org/prop/direct/P530> | Total Triples: 192
<http://www.wikidata.org/prop/P530> | Total Triples: 192
<http://leagueoflegends.knowledge/ontology#isFromRegion> | Total Triples: 176
<http://www.wikidata.org/prop/P3321> | Total Triples: 175
<http://leagueoflegends.knowledge/ontology#costBE> | Total Triples: 174
<http://leagueoflegends.knowledge/ontology#attackrange> | Total Triples: 174
<http://leagueoflegends.knowledge/ontology#armor> | Total Triples: 174
<http://leagueoflegends.knowledge/ontology#hasStats> | Total Triples: 174
<http://leagueoflegends.knowledge/ontology#ratingDamage> | Total Triples: 174
<http://leagueoflegends.knowledge/ontology#hasResourceType> | Total Triples: 174
<http://leagueoflegends.knowledge/ontology#ratingControl> | Total Triples: 174
<http://leagueoflegends.knowledge/ontology#ratingMobility> | Total Triples: 174
