Private Entity,External URI,Confidence,Label
http://leagueoflegends.knowledge/champion/Aatrox,http://www.wikidata.org/entity/Q100254962,0.95,Aatrox
http://leagueoflegends.knowledge/champion/Ahri,http://www.wikidata.org/entity/Q100254963,0.95,Ahri
http://leagueoflegends.knowledge/champion/Akali,http://www.wikidata.org/entity/Q100254964,0.95,Akali
http://leagueoflegends.knowledge/champion/Akshan,http://www.wikidata.org/entity/Q109607333,0.95,Akshan
http://leagueoflegends.knowledge/champion/Alistar,http://www.wikidata.org/entity/Q100254965,0.95,Alistar
http://leagueoflegends.knowledge/champion/Ambessa,http://www.wikidata.org/entity/Q131611215,0.8,Ambessa
http://leagueoflegends.knowledge/champion/Amumu,http://www.wikidata.org/entity/Q100254966,0.95,Amumu
http://leagueoflegends.knowledge/champion/Anivia,http://www.wikidata.org/entity/Q100254967,0.95,Anivia
http://leagueoflegends.knowledge/champion/Annie,http://www.wikidata.org/entity/Q112751175,0.8,Annie
http://leagueoflegends.knowledge/champion/Aphelios,http://www.wikidata.org/entity/Q100254969,0.95,Aphelios
http://leagueoflegends.knowledge/champion/Ashe,http://www.wikidata.org/entity/Q104762966,0.8,Ashe
http://leagueoflegends.knowledge/champion/Aurelion_Sol,http://www.wikidata.org/entity/Q100254971,0.95,Aurelion Sol
http://leagueoflegends.knowledge/champion/Aurora,http://www.wikidata.org/entity/Q1066178,0.5,Aurora
http://leagueoflegends.knowledge/champion/Azir,http://www.wikidata.org/entity/Q100254972,0.95,Azir
http://leagueoflegends.knowledge/champion/Bard,http://www.wikidata.org/entity/Q49757,0.5,Bard
http://leagueoflegends.knowledge/champion/BelVeth,http://www.wikidata.org/entity/Q113130496,0.95,Bel'Veth
http://leagueoflegends.knowledge/champion/Blitzcrank,http://www.wikidata.org/entity/Q100255160,0.95,Blitzcrank
http://leagueoflegends.knowledge/champion/Brand,http://www.wikidata.org/entity/Q15975618,0.5,Brand
http://leagueoflegends.knowledge/champion/Braum,http://www.wikidata.org/entity/Q100254975,0.95,Braum
http://leagueoflegends.knowledge/champion/Briar,http://www.wikidata.org/entity/Q98651335,0.5,Briar
http://leagueoflegends.knowledge/champion/Caitlyn,http://www.wikidata.org/entity/Q100254976,0.95,Caitlyn
http://leagueoflegends.knowledge/champion/Camille,http://www.wikidata.org/entity/Q5160736,0.5,Camille
http://leagueoflegends.knowledge/champion/Cassiopeia,http://www.wikidata.org/entity/Q10464,0.5,Cassiopeia
http://leagueoflegends.knowledge/champion/ChoGath,http://www.wikidata.org/entity/Q100254979,0.95,Cho'Gath
http://leagueoflegends.knowledge/champion/Corki,http://www.wikidata.org/entity/Q100254980,0.95,Corki
http://leagueoflegends.knowledge/champion/Darius,http://www.wikidata.org/entity/Q265867,0.5,Darius
http://leagueoflegends.knowledge/champion/Diana,http://www.wikidata.org/entity/Q645412,0.5,Diana
http://leagueoflegends.knowledge/champion/Draven,http://www.wikidata.org/entity/Q100254984,0.95,Draven
http://leagueoflegends.knowledge/champion/Dr._Mundo,http://www.wikidata.org/entity/Q100254983,0.95,Dr. Mundo
http://leagueoflegends.knowledge/champion/Ekko,http://www.wikidata.org/entity/Q100254985,0.95,Ekko
http://leagueoflegends.knowledge/champion/Elise,http://www.wikidata.org/entity/Q1330670,0.5,Elise
http://leagueoflegends.knowledge/champion/Evelynn,http://www.wikidata.org/entity/Q100254987,0.95,Evelynn
http://leagueoflegends.knowledge/champion/Ezreal,http://www.wikidata.org/entity/Q100254988,0.95,Ezreal
http://leagueoflegends.knowledge/champion/Fiddlesticks,http://www.wikidata.org/entity/Q100255161,0.95,Fiddlesticks
http://leagueoflegends.knowledge/champion/Fiora,http://www.wikidata.org/entity/Q51884137,0.5,Fiora
http://leagueoflegends.knowledge/champion/Fizz,http://www.wikidata.org/entity/Q42868842,0.5,Fizz
http://leagueoflegends.knowledge/champion/Galio,http://www.wikidata.org/entity/Q100255164,0.95,Galio
http://leagueoflegends.knowledge/champion/Gangplank,http://www.wikidata.org/entity/Q100254993,0.95,Gangplank
http://leagueoflegends.knowledge/champion/Garen,http://www.wikidata.org/entity/Q37490004,0.5,Garen
http://leagueoflegends.knowledge/champion/Gnar,http://www.wikidata.org/entity/Q100254995,0.95,Gnar
http://leagueoflegends.knowledge/champion/Gragas,http://www.wikidata.org/entity/Q100254996,0.95,Gragas
http://leagueoflegends.knowledge/champion/Graves,http://www.wikidata.org/entity/Q13553605,0.5,Graves
http://leagueoflegends.knowledge/champion/Gwen,http://www.wikidata.org/entity/Q11075327,0.5,Gwen
http://leagueoflegends.knowledge/champion/Hecarim,http://www.wikidata.org/entity/Q100254998,0.95,Hecarim
http://leagueoflegends.knowledge/champion/Heimerdinger,http://www.wikidata.org/entity/Q100254999,0.95,Heimerdinger
http://leagueoflegends.knowledge/champion/Hwei,http://www.wikidata.org/entity/Q57006900,0.5,Hwei
http://leagueoflegends.knowledge/champion/Illaoi,http://www.wikidata.org/entity/Q100255000,0.95,Illaoi
http://leagueoflegends.knowledge/champion/Irelia,http://www.wikidata.org/entity/Q100255001,0.95,Irelia
http://leagueoflegends.knowledge/champion/Ivern,http://www.wikidata.org/entity/Q100255002,0.95,Ivern
http://leagueoflegends.knowledge/champion/Janna,http://www.wikidata.org/entity/Q20000584,0.5,Janna
http://leagueoflegends.knowledge/champion/Jarvan_IV,http://www.wikidata.org/entity/Q100255004,0.95,Jarvan IV
http://leagueoflegends.knowledge/champion/Jax,http://www.wikidata.org/entity/Q1111626,0.5,Jax
http://leagueoflegends.knowledge/champion/Jayce,http://www.wikidata.org/entity/Q100255006,0.95,Jayce
http://leagueoflegends.knowledge/champion/Jhin,http://www.wikidata.org/entity/Q100255007,0.95,Jhin
http://leagueoflegends.knowledge/champion/Jinx,http://www.wikidata.org/entity/Q3501691,0.5,Jinx
http://leagueoflegends.knowledge/champion/KaiSa,http://www.wikidata.org/entity/Q100255009,0.95,Kai'Sa
http://leagueoflegends.knowledge/champion/Kalista,http://www.wikidata.org/entity/Q100255010,0.95,Kalista
http://leagueoflegends.knowledge/champion/Karma,http://www.wikidata.org/entity/Q427584,0.5,Karma
http://leagueoflegends.knowledge/champion/Karthus,http://www.wikidata.org/entity/Q100255012,0.95,Karthus
http://leagueoflegends.knowledge/champion/Kassadin,http://www.wikidata.org/entity/Q100255013,0.95,Kassadin
http://leagueoflegends.knowledge/champion/Katarina,http://www.wikidata.org/entity/Q16277703,0.5,Katarina
http://leagueoflegends.knowledge/champion/Kayle,http://www.wikidata.org/entity/Q54344836,0.5,Kayle
http://leagueoflegends.knowledge/champion/Kayn,http://www.wikidata.org/entity/Q98641231,0.5,Kayn
http://leagueoflegends.knowledge/champion/Kennen,http://www.wikidata.org/entity/Q100255165,0.95,Kennen
http://leagueoflegends.knowledge/champion/KhaZix,http://www.wikidata.org/entity/Q100255166,0.95,Kha'Zix
http://leagueoflegends.knowledge/champion/Kindred,http://www.wikidata.org/entity/Q21910389,0.5,Kindred
http://leagueoflegends.knowledge/champion/Kled,http://www.wikidata.org/entity/Q100255020,0.95,Kled
http://leagueoflegends.knowledge/champion/Kled_&_Skaarl,NOT_FOUND,0.0,Kled & Skaarl
http://leagueoflegends.knowledge/champion/KogMaw,http://www.wikidata.org/entity/Q100255167,0.95,Kog'Maw
http://leagueoflegends.knowledge/champion/KSante,http://www.wikidata.org/entity/Q114887798,0.95,K'Sante
http://leagueoflegends.knowledge/champion/LeBlanc,http://www.wikidata.org/entity/Q21428416,0.5,LeBlanc
http://leagueoflegends.knowledge/champion/Lee_Sin,http://www.wikidata.org/entity/Q100255024,0.95,Lee Sin
http://leagueoflegends.knowledge/champion/Leona,http://www.wikidata.org/entity/Q1129205,0.5,Leona
http://leagueoflegends.knowledge/champion/Lillia,http://www.wikidata.org/entity/Q16420442,0.5,Lillia
http://leagueoflegends.knowledge/champion/Lissandra,http://www.wikidata.org/entity/Q100255027,0.95,Lissandra
http://leagueoflegends.knowledge/champion/Lucian,http://www.wikidata.org/entity/Q20726133,0.8,Lucian
http://leagueoflegends.knowledge/champion/Lulu,http://www.wikidata.org/entity/Q18760841,0.5,Lulu
http://leagueoflegends.knowledge/champion/Lux,http://www.wikidata.org/entity/Q32,0.5,Lux
http://leagueoflegends.knowledge/champion/Malphite,http://www.wikidata.org/entity/Q100255032,0.95,Malphite
http://leagueoflegends.knowledge/champion/Malzahar,http://www.wikidata.org/entity/Q100255033,0.95,Malzahar
http://leagueoflegends.knowledge/champion/Maokai,http://www.wikidata.org/entity/Q100255034,0.95,Maokai
http://leagueoflegends.knowledge/champion/Master_Yi,http://www.wikidata.org/entity/Q100255035,0.95,Master Yi
